GESTION;2017;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Remboursements et dégrèvements;200;13;Remboursements et dégrèvements liés à la gestion des produits de l'Etat;7;Autres remboursements et dégrèvements liés à la gestion des produits de l'Etat - Admissions en non valeur - Créances liées aux impôts;2 259 000 000;2 200 000 000;2 259 000 000;2 200 000 000
Remboursements et dégrèvements;200;13;Remboursements et dégrèvements liés à la gestion des produits de l'Etat;8;Autres remboursements et dégrèvements liés à la gestion des produits de l'Etat - Dations en paiement, intérêts moratoires, remises de débets;637 000 000;513 000 000;637 000 000;513 000 000
Travail et emploi;102;1;Amélioration de lefficacité du service public de lemploi;1;Indemnisation des demandeurs d'emploi;1 788 463 529;1 484 500 000;1 788 463 529;1 484 500 000
Travail et emploi;102;1;Amélioration de lefficacité du service public de lemploi;2;Coordination du service public de l'emploi;1 532 330 046;1 528 000 000;1 532 330 046;1 528 000 000
Travail et emploi;102;2;Amélioration des dispositifs en faveur de lemploi des personnes les plus éloignées du marché du travail;1;Insertion dans l'emploi au moyen de contrats aidés;2 198 270 698;1 841 869 697;2 480 514 224;2 472 561 004
Travail et emploi;102;2;Amélioration des dispositifs en faveur de lemploi des personnes les plus éloignées du marché du travail;2;Accompagnement des publics les plus en difficultés;1 759 546 297;2 195 221 260;1 734 345 177;2 116 784 460
Travail et emploi;103;1;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;1;Développement de lemploi en TPE-PME;123 365 204;3 667 876 180;141 302 756;1 976 288 658
Travail et emploi;103;1;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;2;Implication des branches et des entreprises dans la prévention du licenciement et le reclassement des salariés;697 186 445;417 828 725;621 526 621;367 675 502
Travail et emploi;103;2;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;3;Reconnaissance des compétences acquises par les personnes;2 922 209;1 920 000;2 922 209;1 920 000
Travail et emploi;103;2;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;4;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;1 724 864 379;1 714 404 288;1 638 704 594;1 871 381 464
Travail et emploi;103;3;Développement de l'emploi;1;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;842 383 813;2 620 836 598;842 383 813;2 620 836 598
Travail et emploi;103;3;Développement de l'emploi;2;Promotion de l'activité;65 983 237;244 010 793;62 724 520;244 010 793
