GESTION;2017;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Défense;212;4;64;Transferts aux autres collectivités;10 700 000;6 388 000;10 700 000;6 388 000
Défense;212;4;72;Dotations en fonds propres;0;30 000 000;0;5 000 000
Défense;212;5;31;Dépenses de fonctionnement autres que celles de personnel;86 436 130;85 390 873;74 861 931;100 175 024
Défense;212;5;51;Dépenses pour immobilisations corporelles de lÉtat;5 300 000;4 210 000;5 300 000;3 790 000
Défense;212;5;52;Dépenses pour immobilisations incorporelles de lÉtat;46 547 000;36 596 089;30 659 000;42 932 153
Défense;212;6;31;Dépenses de fonctionnement autres que celles de personnel;129 784 436;141 272 753;129 784 436;141 272 753
Défense;212;6;51;Dépenses pour immobilisations corporelles de lÉtat;611 605;446 950;611 605;446 950
Défense;212;6;64;Transferts aux autres collectivités;103 276;100 000;103 276;100 000
Défense;212;8;31;Dépenses de fonctionnement autres que celles de personnel;5 581 968;3 725 357;5 554 969;3 979 024
Défense;212;8;32;Subventions pour charges de service public;17 475 334;17 217 659;17 475 334;17 217 659
Défense;212;8;61;Transferts aux ménages;100 000;100 000;100 000;100 000
Défense;212;8;64;Transferts aux autres collectivités;428 000;320 000;428 000;320 000
Défense;212;8;72;Dotations en fonds propres;9 286 000;4 341 373;9 286 000;4 341 373
Défense;212;10;31;Dépenses de fonctionnement autres que celles de personnel;6 167 161;5 590 951;6 145 858;5 590 951
Défense;212;10;51;Dépenses pour immobilisations corporelles de lÉtat;19 973 854;41 275 000;106 519 581;29 099 916
Défense;212;10;62;Transferts aux entreprises;7 074 001;5 100 577;6 808 292;8 017 870
Défense;212;10;63;Transferts aux collectivités territoriales;18 657 673;8 680 441;12 453 673;13 645 248
Défense;212;10;64;Transferts aux autres collectivités;5 319 369;3 121 254;5 119 565;4 906 464
Défense;212;10;71;Prêts et avances;0;0;2 300 000;0
Défense;212;11;31;Dépenses de fonctionnement autres que celles de personnel;285 479 239;284 017 983;308 501 452;354 367 335
Défense;212;11;32;Subventions pour charges de service public;69 304 165;70 453 407;69 304 165;70 453 407
Défense;212;11;51;Dépenses pour immobilisations corporelles de lÉtat;2 341 050;9 828 900;64 751 050;4 816 009
Défense;212;50;21;Rémunérations dactivité;311 470 129;335 523 697;311 470 129;335 523 697
Défense;212;50;22;Cotisations et contributions sociales;183 981 816;194 594 147;183 981 816;194 594 147
Défense;212;50;23;Prestations sociales et allocations diverses;2 132 245;2 059 541;2 132 245;2 059 541
Défense;212;51;21;Rémunérations dactivité;12 551 154;14 886 596;12 551 154;14 886 596
Défense;212;51;22;Cotisations et contributions sociales;11 117 641;10 792 678;11 117 641;10 792 678
Défense;212;51;23;Prestations sociales et allocations diverses;21 692;22 951;21 692;22 951
Défense;212;52;21;Rémunérations dactivité;20 636 476;49 232 237;20 636 476;49 232 237
Défense;212;52;22;Cotisations et contributions sociales;18 303 619;37 164 742;18 303 619;37 164 742
Défense;212;52;23;Prestations sociales et allocations diverses;41 404;43 136;41 404;43 136
Défense;212;53;21;Rémunérations dactivité;450 097 404;463 064 630;450 097 404;463 064 630
Défense;212;53;22;Cotisations et contributions sociales;1 474 343 542;1 435 239 941;1 474 343 542;1 435 239 941
Défense;212;53;23;Prestations sociales et allocations diverses;868 531;789 704;868 531;789 704
Défense;212;54;21;Rémunérations dactivité;524 059 718;669 130 149;524 059 718;669 130 149
Défense;212;54;22;Cotisations et contributions sociales;465 106 597;546 924 968;465 106 597;546 924 968
Défense;212;54;23;Prestations sociales et allocations diverses;1 120 311;1 133 403;1 120 311;1 133 403
Défense;212;55;21;Rémunérations dactivité;3 234 063 806;3 546 287 171;3 234 063 806;3 546 287 171
Défense;212;55;22;Cotisations et contributions sociales;2 871 723 415;3 312 001 625;2 871 723 415;3 312 001 625
Défense;212;55;23;Prestations sociales et allocations diverses;8 844 207;8 510 619;8 844 207;8 510 619
Défense;212;56;21;Rémunérations dactivité;1 196 073 881;1 276 791 321;1 196 073 881;1 276 791 321
Défense;212;56;22;Cotisations et contributions sociales;1 063 491 238;1 137 312 113;1 063 491 238;1 137 312 113
Défense;212;56;23;Prestations sociales et allocations diverses;2 978 484;2 741 215;2 978 484;2 741 215
Défense;212;57;21;Rémunérations dactivité;1 234 432 815;1 346 923 404;1 234 432 815;1 346 923 404
Défense;212;57;22;Cotisations et contributions sociales;1 097 170 916;1 205 806 183;1 097 170 916;1 205 806 183
Défense;212;57;23;Prestations sociales et allocations diverses;2 991 310;2 803 965;2 991 310;2 803 965
Défense;212;58;21;Rémunérations dactivité;1 643 841 284;1 226 626 696;1 643 841 284;1 226 626 696
Défense;212;58;22;Cotisations et contributions sociales;1 462 051 752;1 209 064 864;1 462 051 752;1 209 064 864
Défense;212;58;23;Prestations sociales et allocations diverses;4 094 834;3 479 319;4 094 834;3 479 319
Défense;212;59;21;Rémunérations dactivité;195 878 065;210 821 000;195 878 065;210 821 000
Défense;212;59;22;Cotisations et contributions sociales;121 935;179 000;121 935;179 000
Défense;212;60;21;Rémunérations dactivité;250 245 620;262 334 157;250 245 620;262 334 157
Défense;212;60;22;Cotisations et contributions sociales;222 279 939;190 693 805;222 279 939;190 693 805
Défense;212;60;23;Prestations sociales et allocations diverses;579 049;541 227;579 049;541 227
Défense;212;61;22;Cotisations et contributions sociales;35 188 508;36 171 584;35 188 508;36 171 584
Défense;212;61;23;Prestations sociales et allocations diverses;287 343 706;271 355 403;287 343 706;271 355 403
Défense;212;62;21;Rémunérations dactivité;24 840 482;21 233 063;24 840 482;21 233 063
Défense;212;62;22;Cotisations et contributions sociales;22 072 169;14 406 349;22 072 169;14 406 349
Défense;212;62;23;Prestations sociales et allocations diverses;59 308;48 670;59 308;48 670
Défense;212;62;64;Transferts aux autres collectivités;0;0;0;0
Défense;212;63;21;Rémunérations dactivité;153 858 980;91 323 915;153 858 980;91 323 915
Défense;212;63;22;Cotisations et contributions sociales;245 650;245 650;245 650;245 650
Défense;212;63;23;Prestations sociales et allocations diverses;0;22 672 656;0;22 672 656
Défense;212;64;21;Rémunérations dactivité;237 765 437;247 515 683;237 765 437;247 515 683
Défense;212;64;22;Cotisations et contributions sociales;211 605 502;168 132 243;211 605 502;168 132 243
Défense;212;64;23;Prestations sociales et allocations diverses;513 630;479 047;513 630;479 047
Défense;212;65;21;Rémunérations dactivité;45 295 469;39 713 245;45 295 469;39 713 245
Défense;212;65;22;Cotisations et contributions sociales;40 261 193;29 849 306;40 261 193;29 849 306
Défense;212;65;23;Prestations sociales et allocations diverses;111 385;95 712;111 385;95 712
Défense;212;66;21;Rémunérations dactivité;12 596 609;13 711 124;12 596 609;13 711 124
Défense;212;66;22;Cotisations et contributions sociales;11 173 487;10 384 492;11 173 487;10 384 492
Défense;212;66;23;Prestations sociales et allocations diverses;25 479;22 056;25 479;22 056
Défense;212;67;21;Rémunérations dactivité;48 197 098;52 161 469;48 197 098;52 161 469
Défense;212;67;22;Cotisations et contributions sociales;42 743 802;38 802 867;42 743 802;38 802 867
Défense;212;67;23;Prestations sociales et allocations diverses;95 548;89 200;95 548;89 200
Direction de l'action du Gouvernement;129;1;21;Rémunérations dactivité;39 833 545;41 367 634;39 833 545;41 367 634
Direction de l'action du Gouvernement;129;1;22;Cotisations et contributions sociales;17 904 554;18 597 671;17 904 554;18 597 671
Direction de l'action du Gouvernement;129;1;23;Prestations sociales et allocations diverses;915 400;950 855;915 400;950 855
Direction de l'action du Gouvernement;129;1;31;Dépenses de fonctionnement autres que celles de personnel;16 525 080;15 814 259;16 589 583;15 878 762
Direction de l'action du Gouvernement;129;1;61;Transferts aux ménages;4 886 364;4 886 364;4 886 364;4 886 364
Direction de l'action du Gouvernement;129;1;64;Transferts aux autres collectivités;8 787 627;7 172 627;8 787 627;7 172 627
Direction de l'action du Gouvernement;129;2;21;Rémunérations dactivité;44 511 263;57 049 118;44 511 263;57 049 118
Direction de l'action du Gouvernement;129;2;22;Cotisations et contributions sociales;25 715 356;26 638 908;25 715 356;26 638 908
Direction de l'action du Gouvernement;129;2;23;Prestations sociales et allocations diverses;680 986;779 033;680 986;779 033
Direction de l'action du Gouvernement;129;2;31;Dépenses de fonctionnement autres que celles de personnel;124 040 849;131 251 682;123 937 853;135 740 965
Direction de l'action du Gouvernement;129;2;32;Subventions pour charges de service public;16 817 500;13 820 474;16 817 500;13 820 474
Direction de l'action du Gouvernement;129;2;51;Dépenses pour immobilisations corporelles de lÉtat;100 990 764;113 410 076;83 718 509;104 162 753
Direction de l'action du Gouvernement;129;2;52;Dépenses pour immobilisations incorporelles de lÉtat;9 758 400;4 250 000;15 107 200;4 727 631
Direction de l'action du Gouvernement;129;2;62;Transferts aux entreprises;1 200 000;1 086 956;1 200 000;1 086 957
Direction de l'action du Gouvernement;129;2;64;Transferts aux autres collectivités;3 600 000;1 714 152;3 600 000;1 398 065
Direction de l'action du Gouvernement;129;3;21;Rémunérations dactivité;7 107 376;7 163 313;7 107 376;7 163 313
Direction de l'action du Gouvernement;129;3;22;Cotisations et contributions sociales;3 816 226;3 740 827;3 816 226;3 740 827
Direction de l'action du Gouvernement;129;3;23;Prestations sociales et allocations diverses;134 529;138 276;134 529;138 276
Direction de l'action du Gouvernement;129;3;31;Dépenses de fonctionnement autres que celles de personnel;5 557 759;4 831 759;5 557 759;4 831 759
Direction de l'action du Gouvernement;129;3;64;Transferts aux autres collectivités;0;726 000;0;726 000
Direction de l'action du Gouvernement;129;10;21;Rémunérations dactivité;25 652 735;27 127 795;25 652 735;27 127 795
Direction de l'action du Gouvernement;129;10;22;Cotisations et contributions sociales;11 523 243;12 595 307;11 523 243;12 595 307
Direction de l'action du Gouvernement;129;10;23;Prestations sociales et allocations diverses;593 063;632 377;593 063;632 377
Direction de l'action du Gouvernement;129;10;31;Dépenses de fonctionnement autres que celles de personnel;50 422 234;66 958 989;52 854 441;78 683 790
Direction de l'action du Gouvernement;129;10;51;Dépenses pour immobilisations corporelles de lÉtat;2 376 600;5 108 000;4 131 531;4 078 537
Direction de l'action du Gouvernement;129;10;52;Dépenses pour immobilisations incorporelles de lÉtat;350 000;1 120 000;160 000;1 000 000
Direction de l'action du Gouvernement;129;10;64;Transferts aux autres collectivités;0;2 000 000;0;2 000 000
Direction de l'action du Gouvernement;129;11;21;Rémunérations dactivité;10 866 789;10 485 520;10 866 789;10 485 520
Direction de l'action du Gouvernement;129;11;22;Cotisations et contributions sociales;4 360 607;4 397 907;4 360 607;4 397 907
Direction de l'action du Gouvernement;129;11;23;Prestations sociales et allocations diverses;116 819;134 988;116 819;134 988
Direction de l'action du Gouvernement;129;11;31;Dépenses de fonctionnement autres que celles de personnel;6 875 216;6 875 216;6 875 216;6 875 216
Direction de l'action du Gouvernement;129;11;64;Transferts aux autres collectivités;6 851 422;4 230 422;6 851 422;4 230 422
Direction de l'action du Gouvernement;129;13;31;Dépenses de fonctionnement autres que celles de personnel;0;0;0;0
Direction de l'action du Gouvernement;129;13;32;Subventions pour charges de service public;24 443 043;24 527 822;24 443 043;24 527 822
Direction de l'action du Gouvernement;129;13;64;Transferts aux autres collectivités;3 800;0;3 800;0
Direction de l'action du Gouvernement;129;13;72;Dotations en fonds propres;2 727 000;2 642 221;2 727 000;2 642 221
Direction de l'action du Gouvernement;129;14;32;Subventions pour charges de service public;1 356 713;1 332 499;1 356 713;1 332 499
Direction de l'action du Gouvernement;129;15;21;Rémunérations dactivité;1 589 946;1 589 946;1 589 946;1 589 946
Direction de l'action du Gouvernement;129;15;22;Cotisations et contributions sociales;711 643;711 643;711 643;711 643
Direction de l'action du Gouvernement;129;15;23;Prestations sociales et allocations diverses;36 786;36 786;36 786;36 786
Direction de l'action du Gouvernement;129;15;31;Dépenses de fonctionnement autres que celles de personnel;400 000;400 000;400 000;400 000
Direction de l'action du Gouvernement;129;15;32;Subventions pour charges de service public;3 242 454;3 174 273;3 242 454;3 174 273
Direction de l'action du Gouvernement;129;15;64;Transferts aux autres collectivités;12 925 782;11 925 782;12 925 782;11 925 782
Direction de l'action du Gouvernement;129;16;21;Rémunérations dactivité;13 588 694;13 588 694;13 588 694;13 588 694
Direction de l'action du Gouvernement;129;16;22;Cotisations et contributions sociales;6 082 157;6 082 157;6 082 157;6 082 157
Direction de l'action du Gouvernement;129;16;23;Prestations sociales et allocations diverses;314 398;314 398;314 398;314 398
Direction de l'action du Gouvernement;129;16;31;Dépenses de fonctionnement autres que celles de personnel;40 484 255;39 510 404;39 483 461;37 678 461
Direction de l'action du Gouvernement;129;16;64;Transferts aux autres collectivités;245 000;245 000;380 000;185 000
Direction de l'action du Gouvernement;308;2;21;Rémunérations dactivité;10 004 599;10 205 910;10 004 599;10 205 910
Direction de l'action du Gouvernement;308;2;22;Cotisations et contributions sociales;3 673 884;3 725 269;3 673 884;3 725 269
Direction de l'action du Gouvernement;308;2;23;Prestations sociales et allocations diverses;233 920;228 451;233 920;228 451
Direction de l'action du Gouvernement;308;2;31;Dépenses de fonctionnement autres que celles de personnel;3 539 462;3 390 591;5 437 238;3 224 200
Direction de l'action du Gouvernement;308;2;64;Transferts aux autres collectivités;9 000;9 000;9 000;9 000
Direction de l'action du Gouvernement;308;3;64;Transferts aux autres collectivités;37 348 137;37 680 909;37 348 137;37 680 909
Direction de l'action du Gouvernement;308;5;21;Rémunérations dactivité;2 591 940;2 600 000;2 591 940;2 600 000
Direction de l'action du Gouvernement;308;5;22;Cotisations et contributions sociales;1 458 555;1 467 440;1 458 555;1 467 440
Direction de l'action du Gouvernement;308;5;23;Prestations sociales et allocations diverses;59 472;18 000;59 472;18 000
Direction de l'action du Gouvernement;308;5;31;Dépenses de fonctionnement autres que celles de personnel;1 061 998;1 035 182;1 141 768;1 115 032
Direction de l'action du Gouvernement;308;6;21;Rémunérations dactivité;1 451 014;1 452 286;1 451 014;1 452 286
Direction de l'action du Gouvernement;308;6;22;Cotisations et contributions sociales;730 923;720 986;730 923;720 986
Direction de l'action du Gouvernement;308;6;23;Prestations sociales et allocations diverses;17 020;16 542;17 020;16 542
Direction de l'action du Gouvernement;308;6;31;Dépenses de fonctionnement autres que celles de personnel;815 333;975 764;815 333;975 764
Direction de l'action du Gouvernement;308;6;64;Transferts aux autres collectivités;70 000;70 000;70 000;70 000
Direction de l'action du Gouvernement;308;7;21;Rémunérations dactivité;1 820 478;1 490 932;1 820 478;1 490 932
Direction de l'action du Gouvernement;308;7;22;Cotisations et contributions sociales;878 183;727 892;878 183;727 892
Direction de l'action du Gouvernement;308;7;23;Prestations sociales et allocations diverses;19 339;16 176;19 339;16 176
Direction de l'action du Gouvernement;308;7;31;Dépenses de fonctionnement autres que celles de personnel;462 581;452 151;462 581;452 151
Direction de l'action du Gouvernement;308;9;21;Rémunérations dactivité;11 541 469;11 319 418;11 541 469;11 319 418
Direction de l'action du Gouvernement;308;9;22;Cotisations et contributions sociales;4 506 179;4 567 446;4 506 179;4 567 446
Direction de l'action du Gouvernement;308;9;23;Prestations sociales et allocations diverses;238 000;268 000;238 000;268 000
Direction de l'action du Gouvernement;308;9;31;Dépenses de fonctionnement autres que celles de personnel;10 140 074;6 500 000;13 835 819;6 500 000
Direction de l'action du Gouvernement;308;10;21;Rémunérations dactivité;1 913 171;2 998 864;1 913 171;2 998 864
Direction de l'action du Gouvernement;308;10;22;Cotisations et contributions sociales;987 352;1 149 836;987 352;1 149 836
Direction de l'action du Gouvernement;308;10;23;Prestations sociales et allocations diverses;15 102;19 248;15 102;19 248
Direction de l'action du Gouvernement;308;10;31;Dépenses de fonctionnement autres que celles de personnel;1 087 100;7 707 100;1 087 100;2 200 000
Direction de l'action du Gouvernement;308;11;21;Rémunérations dactivité;136 242;59 688;136 242;59 688
Direction de l'action du Gouvernement;308;11;22;Cotisations et contributions sociales;12 209;29 478;12 209;29 478
Direction de l'action du Gouvernement;308;11;23;Prestations sociales et allocations diverses;1 549;834;1 549;834
Direction de l'action du Gouvernement;308;11;31;Dépenses de fonctionnement autres que celles de personnel;348 860;181 417;348 860;181 417
Direction de l'action du Gouvernement;333;1;21;Rémunérations dactivité;0;0;0;0
Direction de l'action du Gouvernement;333;1;31;Dépenses de fonctionnement autres que celles de personnel;77 098 485;149 621 890;77 098 485;149 621 890
Direction de l'action du Gouvernement;333;1;51;Dépenses pour immobilisations corporelles de lÉtat;7 790 000;12 670 972;7 790 000;12 670 972
Direction de l'action du Gouvernement;333;2;21;Rémunérations dactivité;0;0;0;0
Direction de l'action du Gouvernement;333;2;31;Dépenses de fonctionnement autres que celles de personnel;467 520 411;471 411 623;328 203 090;325 094 302
Direction de l'action du Gouvernement;333;2;51;Dépenses pour immobilisations corporelles de lÉtat;1 750 000;1 750 000;1 750 000;1 750 000
Direction de l'action du Gouvernement;333;3;21;Rémunérations dactivité;113 236 145;112 830 672;113 236 145;112 830 672
Direction de l'action du Gouvernement;333;3;22;Cotisations et contributions sociales;62 746 005;64 327 732;62 746 005;64 327 732
Direction de l'action du Gouvernement;333;3;23;Prestations sociales et allocations diverses;384 431;400 000;384 431;400 000
Écologie, développement et mobilité durables;113;1;31;Dépenses de fonctionnement autres que celles de personnel;3 820 735;3 656 509;3 820 735;3 656 509
Écologie, développement et mobilité durables;113;1;32;Subventions pour charges de service public;0;0;0;0
Écologie, développement et mobilité durables;113;1;61;Transferts aux ménages;0;0;0;0
Écologie, développement et mobilité durables;113;1;62;Transferts aux entreprises;93 123;100 000;93 123;100 000
Écologie, développement et mobilité durables;113;1;63;Transferts aux collectivités territoriales;1 480 787;1 556 990;1 480 787;1 556 990
Écologie, développement et mobilité durables;113;1;64;Transferts aux autres collectivités;1 585 501;1 453 726;1 585 501;1 453 726
Écologie, développement et mobilité durables;113;2;31;Dépenses de fonctionnement autres que celles de personnel;5 541 568;5 631 514;5 541 568;5 631 514
Écologie, développement et mobilité durables;113;2;64;Transferts aux autres collectivités;13 000;0;13 000;0
Écologie, développement et mobilité durables;113;7;31;Dépenses de fonctionnement autres que celles de personnel;33 346 191;20 200 608;33 348 141;20 292 905
Écologie, développement et mobilité durables;113;7;32;Subventions pour charges de service public;134 787 507;137 670 025;134 787 507;137 670 025
Écologie, développement et mobilité durables;113;7;51;Dépenses pour immobilisations corporelles de lÉtat;3 026 255;3 068 342;3 026 255;3 026 254
Écologie, développement et mobilité durables;113;7;52;Dépenses pour immobilisations incorporelles de lÉtat;0;0;0;0
Écologie, développement et mobilité durables;113;7;61;Transferts aux ménages;0;0;0;0
Écologie, développement et mobilité durables;113;7;62;Transferts aux entreprises;24 380 817;23 971 122;24 281 890;24 424 321
Écologie, développement et mobilité durables;113;7;63;Transferts aux collectivités territoriales;20 505 678;11 092 760;20 503 651;10 388 629
Écologie, développement et mobilité durables;113;7;64;Transferts aux autres collectivités;46 314 635;70 372 983;46 413 639;70 573 706
Écologie, développement et mobilité durables;113;7;72;Dotations en fonds propres;1 000 000;1 000 000;1 000 000;1 000 000
Écologie, développement et mobilité durables;159;11;32;Subventions pour charges de service public;0;213 193 528;0;213 193 528
Écologie, développement et mobilité durables;159;12;31;Dépenses de fonctionnement autres que celles de personnel;115 000;159 800;115 000;159 800
Écologie, développement et mobilité durables;159;12;32;Subventions pour charges de service public;94 974 775;94 063 365;94 974 775;94 133 365
Écologie, développement et mobilité durables;159;12;64;Transferts aux autres collectivités;16 000;15 000;16 000;15 000
Écologie, développement et mobilité durables;159;13;32;Subventions pour charges de service public;198 241 019;195 241 019;198 241 019;195 241 019
Écologie, développement et mobilité durables;174;1;31;Dépenses de fonctionnement autres que celles de personnel;806 223;817 400;817 400;817 400
Écologie, développement et mobilité durables;174;1;32;Subventions pour charges de service public;2 950 000;2 800 000;2 950 000;2 800 000
Écologie, développement et mobilité durables;174;1;64;Transferts aux autres collectivités;387 500;434 500;390 809;434 500
Écologie, développement et mobilité durables;174;4;32;Subventions pour charges de service public;13 460 000;12 833 060;13 460 000;12 833 060
Écologie, développement et mobilité durables;174;4;61;Transferts aux ménages;442 821 000;393 251 000;442 821 000;393 251 000
Écologie, développement et mobilité durables;174;4;62;Transferts aux entreprises;17 705 000;17 500 000;20 045 000;18 200 000
Écologie, développement et mobilité durables;174;5;31;Dépenses de fonctionnement autres que celles de personnel;2 827 575;2 764 762;2 827 575;2 764 762
Écologie, développement et mobilité durables;174;5;32;Subventions pour charges de service public;1 340 000;1 240 000;1 340 000;1 240 000
Écologie, développement et mobilité durables;174;5;62;Transferts aux entreprises;220 000;200 000;220 000;200 000
Écologie, développement et mobilité durables;174;5;64;Transferts aux autres collectivités;23 561 971;23 315 000;23 561 971;23 315 000
Écologie, développement et mobilité durables;174;6;31;Dépenses de fonctionnement autres que celles de personnel;1 144 842;1 115 563;1 144 842;1 115 563
Écologie, développement et mobilité durables;174;6;64;Transferts aux autres collectivités;7 000;0;7 000;0
Écologie, développement et mobilité durables;181;1;31;Dépenses de fonctionnement autres que celles de personnel;22 145 733;21 649 000;20 145 733;20 249 000
Écologie, développement et mobilité durables;181;1;32;Subventions pour charges de service public;35 058 342;35 682 946;35 058 342;35 682 946
Écologie, développement et mobilité durables;181;1;51;Dépenses pour immobilisations corporelles de lÉtat;100 000;100 000;100 000;100 000
Écologie, développement et mobilité durables;181;1;62;Transferts aux entreprises;14 374 604;9 750 000;17 374 604;19 770 000
Écologie, développement et mobilité durables;181;1;63;Transferts aux collectivités territoriales;74 981 791;33 850 000;7 581 883;10 000 000
Écologie, développement et mobilité durables;181;1;64;Transferts aux autres collectivités;3 675 500;3 651 000;3 675 500;3 651 000
Écologie, développement et mobilité durables;181;9;21;Rémunérations dactivité;31 390 785;32 787 573;31 390 785;32 787 573
Écologie, développement et mobilité durables;181;9;22;Cotisations et contributions sociales;10 420 277;12 016 800;10 420 277;12 016 800
Écologie, développement et mobilité durables;181;9;23;Prestations sociales et allocations diverses;120 000;120 000;120 000;120 000
Écologie, développement et mobilité durables;181;9;31;Dépenses de fonctionnement autres que celles de personnel;11 325 438;11 275 627;16 340 710;16 275 627
Écologie, développement et mobilité durables;181;9;32;Subventions pour charges de service public;0;0;0;0
Écologie, développement et mobilité durables;181;9;52;Dépenses pour immobilisations incorporelles de lÉtat;150 000;150 000;150 000;150 000
Écologie, développement et mobilité durables;181;9;64;Transferts aux autres collectivités;1 454 300;1 450 000;1 454 300;1 450 000
Écologie, développement et mobilité durables;181;10;31;Dépenses de fonctionnement autres que celles de personnel;14 300 000;15 076 816;14 300 000;14 725 318
Écologie, développement et mobilité durables;181;10;32;Subventions pour charges de service public;7 687 833;7 687 833;7 687 833;7 687 833
Écologie, développement et mobilité durables;181;10;51;Dépenses pour immobilisations corporelles de lÉtat;2 900 000;3 900 000;2 900 000;3 900 000
Écologie, développement et mobilité durables;181;10;52;Dépenses pour immobilisations incorporelles de lÉtat;300 000;300 000;300 000;300 000
Écologie, développement et mobilité durables;181;10;63;Transferts aux collectivités territoriales;4 200 000;3 503 000;4 200 000;3 503 000
Écologie, développement et mobilité durables;181;10;64;Transferts aux autres collectivités;9 283 000;9 350 000;9 283 000;9 350 000
Écologie, développement et mobilité durables;181;11;31;Dépenses de fonctionnement autres que celles de personnel;180 000;180 000;180 000;180 000
Écologie, développement et mobilité durables;181;11;32;Subventions pour charges de service public;29 200 000;28 450 000;29 200 000;28 450 000
Écologie, développement et mobilité durables;181;11;51;Dépenses pour immobilisations corporelles de lÉtat;520 000;520 000;520 000;520 000
Écologie, développement et mobilité durables;181;11;61;Transferts aux ménages;1 800 000;1 300 000;1 800 000;1 300 000
Écologie, développement et mobilité durables;181;11;62;Transferts aux entreprises;0;7 450 000;0;7 450 000
Écologie, développement et mobilité durables;181;11;64;Transferts aux autres collectivités;7 000 000;0;7 000 000;0
Écologie, développement et mobilité durables;203;1;64;Transferts aux autres collectivités;5 000;0;5 000;0
Écologie, développement et mobilité durables;203;10;62;Transferts aux entreprises;2 457 022 531;2 457 022 531;2 457 022 531;2 457 022 531
Écologie, développement et mobilité durables;203;10;64;Transferts aux autres collectivités;4 000;0;4 000;0
Écologie, développement et mobilité durables;203;11;31;Dépenses de fonctionnement autres que celles de personnel;2 251 721;2 480 000;2 251 721;2 480 000
Écologie, développement et mobilité durables;203;11;32;Subventions pour charges de service public;250 917 156;252 354 328;250 917 156;252 354 328
Écologie, développement et mobilité durables;203;11;51;Dépenses pour immobilisations corporelles de lÉtat;11 840 911;1 434 751;8 017 911;7 784 751
Écologie, développement et mobilité durables;203;11;62;Transferts aux entreprises;52 081 572;48 516 849;51 820 872;50 516 849
Écologie, développement et mobilité durables;203;11;64;Transferts aux autres collectivités;6 000;0;6 000;0
Écologie, développement et mobilité durables;203;12;31;Dépenses de fonctionnement autres que celles de personnel;160 198 433;185 635 680;160 198 433;185 635 680
Écologie, développement et mobilité durables;203;12;51;Dépenses pour immobilisations corporelles de lÉtat;150 007 948;124 065 862;155 797 948;130 147 780
Écologie, développement et mobilité durables;203;12;64;Transferts aux autres collectivités;5 287 080;5 500 000;5 287 080;5 500 000
Écologie, développement et mobilité durables;203;13;31;Dépenses de fonctionnement autres que celles de personnel;964 431;1 000 962;964 431;1 000 962
Écologie, développement et mobilité durables;203;13;51;Dépenses pour immobilisations corporelles de lÉtat;2 078 170;2 041 639;2 078 170;2 041 639
Écologie, développement et mobilité durables;203;13;62;Transferts aux entreprises;35 511 460;36 123 598;40 511 460;41 123 598
Écologie, développement et mobilité durables;203;13;63;Transferts aux collectivités territoriales;1 793 342;1 750 000;1 793 342;1 750 000
Écologie, développement et mobilité durables;203;13;64;Transferts aux autres collectivités;2 123 767;2 166 109;2 123 767;2 166 109
Écologie, développement et mobilité durables;203;14;62;Transferts aux entreprises;28 185 400;26 313 616;26 615 400;25 903 616
Écologie, développement et mobilité durables;203;14;64;Transferts aux autres collectivités;138 873;94 836;138 873;94 836
Écologie, développement et mobilité durables;203;15;31;Dépenses de fonctionnement autres que celles de personnel;22 004 264;13 510 553;16 434 187;16 084 188
Écologie, développement et mobilité durables;203;15;64;Transferts aux autres collectivités;12 000;0;12 000;0
Écologie, développement et mobilité durables;205;1;31;Dépenses de fonctionnement autres que celles de personnel;19 886 899;19 679 000;18 519 909;19 609 000
Écologie, développement et mobilité durables;205;1;51;Dépenses pour immobilisations corporelles de lÉtat;4 249 041;5 711 000;3 860 506;2 811 000
Écologie, développement et mobilité durables;205;1;52;Dépenses pour immobilisations incorporelles de lÉtat;1 200 000;410 000;350 000;400 000
Écologie, développement et mobilité durables;205;1;64;Transferts aux autres collectivités;4 000 000;3 900 000;4 000 000;3 900 000
Écologie, développement et mobilité durables;205;2;31;Dépenses de fonctionnement autres que celles de personnel;537 126;570 000;537 126;570 000
Écologie, développement et mobilité durables;205;2;32;Subventions pour charges de service public;18 021 861;18 500 000;18 021 861;18 500 000
Écologie, développement et mobilité durables;205;2;51;Dépenses pour immobilisations corporelles de lÉtat;380 105;900 000;380 105;600 000
Écologie, développement et mobilité durables;205;2;61;Transferts aux ménages;1 406 574;1 730 000;1 406 574;1 730 000
Écologie, développement et mobilité durables;205;2;62;Transferts aux entreprises;1 000 000;0;1 000 000;0
Écologie, développement et mobilité durables;205;2;63;Transferts aux collectivités territoriales;4 791 475;4 700 000;4 791 475;4 700 000
Écologie, développement et mobilité durables;205;2;64;Transferts aux autres collectivités;1 614 614;1 560 000;1 614 614;1 560 000
Écologie, développement et mobilité durables;205;3;62;Transferts aux entreprises;52 050 000;51 066 000;52 050 000;51 066 000
Écologie, développement et mobilité durables;205;3;64;Transferts aux autres collectivités;12 401 600;32 434 000;12 401 600;32 434 000
Écologie, développement et mobilité durables;205;4;31;Dépenses de fonctionnement autres que celles de personnel;6 317 297;6 372 000;6 117 297;6 372 000
Écologie, développement et mobilité durables;205;4;51;Dépenses pour immobilisations corporelles de lÉtat;5 009 617;3 250 000;5 209 617;3 150 000
